Open,Year,High,Month,Low,Close
42120,2016,42330,12,41700,41830
43000,2016,43220,12,42540,42660
43940,2016,43970,12,43270,43270
43140,2016,43700,12,43140,43620
43310,2016,43660,12,43090,43340
43660,2016,43840,12,43190,43480
43900,2016,44370,12,43610,44000
42910,2016,43630,12,42860,43620
42790,2016,43150,12,42740,43130
43350,2016,43550,12,42810,43130
43440,2016,43880,12,42550,43000
43300,2016,43440,12,42590,43090
43130,2016,43300,12,42630,43210
43950,2016,44000,12,42880,43130
41700,2016,42970,12,41150,42590
41480,2016,41560,12,40830,41100
40500,2016,41150,12,40420,40870
40350,2016,40500,12,39860,40150
40060,2016,40350,12,39690,39760
40300,2016,40660,12,39960,40660
40500,2016,41190,12,40320,40460
40300,2016,40340,11,39570,39570
40420,2016,40580,11,40100,40200
41260,2016,41440,11,40830,41260
41820,2016,42020,11,41220,41370
41300,2016,41760,11,41170,41730
39880,2016,40360,11,39660,40360
40210,2016,40270,11,39510,39970
39980,2016,40620,11,39900,40190
39200,2016,39710,11,39050,39280
39130,2016,39750,11,39110,39400
38600,2016,38980,11,38470,38570
37730,2016,38690,11,37680,38580
37590,2016,37940,11,37190,37600
36480,2016,37110,11,36000,36890
36920,2016,37220,11,33520,33680
36870,2016,37050,11,36410,36550
36020,2016,36710,11,36000,36640
35460,2016,35930,11,35360,35510
35450,2016,35940,11,35420,35540
35440,2016,36050,11,35310,35890
35690,2016,36030,10,35450,35460
36020,2016,36450,10,35980,35980
36250,2016,36370,10,35600,35770
36840,2016,36850,10,36380,36450
36500,2016,36940,10,36450,36850
36650,2016,36660,10,36000,36300
36350,2016,36850,10,36180,36300
34910,2016,36330,10,34910,36330
34900,2016,35050,10,34600,35020
34490,2016,34900,10,34210,34900
34710,2016,35030,10,34180,34210
33200,2016,35090,10,33200,34800
34000,2016,34290,10,33010,33150
33550,2016,34030,10,33380,33790
33580,2016,34040,10,33560,33920
33600,2016,33900,10,33400,33500
34200,2016,34460,10,34030,34040
34150,2016,34200,10,33600,33940
33300,2016,33950,10,33150,33490
32800,2016,32990,10,32580,32980
32030,2016,32490,9,31970,32290
32620,2016,32650,9,32140,32480
32400,2016,32440,9,31800,32040
32530,2016,32650,9,31860,32400
32780,2016,33350,9,32640,32710
32950,2016,33760,9,32810,33230
32370,2016,33190,9,31010,33000
33480,2016,33530,9,32480,32510
33990,2016,34400,9,33600,34360
34740,2016,34820,9,33930,34110
35400,2016,35540,9,34950,35080
35880,2016,36140,9,35560,35750
35930,2016,36180,9,35340,35470
36410,2016,36590,9,35970,36330
36700,2016,36750,9,36020,36410
36600,2016,36900,9,36220,36390
36990,2016,37310,9,36820,36860
36500,2016,37520,9,36480,37120
35750,2016,35900,9,35340,35700
36400,2016,36490,9,35680,35940
36500,2016,36750,8,36310,36340
36220,2016,36500,8,36210,36440
35910,2016,36480,8,35670,36450
35400,2016,35790,8,34780,35370
35400,2016,35890,8,34660,35460
36160,2016,36850,8,35470,35600
36680,2016,37050,8,36480,36580
37270,2016,37360,8,36910,36980
36950,2016,37590,8,36840,37150
36880,2016,37620,8,36450,36560
36740,2016,37170,8,36700,36970
37590,2016,37680,8,36500,36500
38140,2016,38230,8,37580,37630
37530,2016,38250,8,37120,38080
37600,2016,37860,8,36930,37000
37700,2016,38250,8,37180,37500
37800,2016,37950,8,37150,37880
35950,2016,36880,8,35670,36640
35200,2016,35530,8,34210,35500
34340,2016,35080,8,33900,34540
34330,2016,34580,8,33610,33640
